     0.000     0.000
    -0.019    -0.068
    -0.066    -0.138
    -0.137    -0.213
    -0.231    -0.294
    -0.341    -0.381
    -0.462    -0.476
    -0.587    -0.579
    -0.709    -0.689
    -0.821    -0.805
    -0.916    -0.927
    -0.991    -1.051
    -1.040    -1.177
    -1.062    -1.303
    -1.057    -1.426
    -1.027    -1.545
    -0.976    -1.658
    -0.907    -1.764
    -0.828    -1.863
    -0.744    -1.954
    -0.664    -2.037
    -0.594    -2.115
    -0.540    -2.187
    -0.507    -2.256
    -0.500    -2.323
    -0.519    -2.391
    -0.565    -2.462
    -0.637    -2.537
    -0.730    -2.617
    -0.841    -2.705
    -0.962    -2.800
    -1.087    -2.902
    -1.209    -3.012
    -1.321    -3.129
    -1.416    -3.250
    -1.490    -3.375
    -1.540    -3.501
    -1.562    -3.627
    -1.557    -3.750
    -1.527    -3.868
    -1.475    -3.982
    -1.407    -4.088
    -1.327    -4.186
    -1.244    -4.277
    -1.164    -4.361
    -1.093    -4.438
    -1.040    -4.510
    -1.007    -4.579
    -0.999    -4.647
