     0.000     0.000
     0.001     0.029
    -0.024     0.055
    -0.075     0.077
    -0.147     0.093
    -0.237     0.103
    -0.337     0.105
    -0.441     0.099
    -0.543     0.086
    -0.633     0.066
    -0.708     0.041
    -0.762     0.014
    -0.790    -0.016
    -0.792    -0.045
    -0.766    -0.071
    -0.715    -0.093
    -0.643    -0.109
    -0.553    -0.119
    -0.453    -0.120
    -0.349    -0.114
    -0.248    -0.101
    -0.157    -0.082
    -0.082    -0.057
    -0.028    -0.029
     0.000     0.000
     0.001     0.029
    -0.024     0.055
    -0.075     0.077
    -0.147     0.093
    -0.237     0.103
    -0.337     0.105
    -0.441     0.099
    -0.543     0.086
    -0.633     0.066
    -0.708     0.041
    -0.762     0.014
    -0.790    -0.016
    -0.792    -0.045
    -0.766    -0.071
    -0.715    -0.093
    -0.643    -0.109
    -0.553    -0.119
    -0.453    -0.120
    -0.349    -0.114
    -0.248    -0.101
    -0.157    -0.082
    -0.082    -0.057
    -0.028    -0.029
     0.000     0.000
