       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255S LINE2 .ICL001. 1   *****
 
    72     33.000        0.025      -498.628      -547.981        0.011        1.257        1.179        0.012       11.371
    73     33.000        0.024      -229.438       359.986        0.011        1.298        1.217        0.013       11.371
    74     34.000        0.032      -442.444       -47.491        0.011        1.003        0.940        0.016       10.994
    75     34.000        0.031       606.359      -444.943        0.011        1.047        0.982        0.015       10.994
    76     34.000        0.027       494.041      -606.441        0.011        1.186        1.112        0.015       10.994
    77     34.000        0.027      -609.065       -18.056        0.011        1.218        1.142        0.016       10.994
    78     34.000        0.021       -16.320      -119.048        0.011        1.547        1.451        0.013       10.994
    79     35.000        0.027       286.369      -486.264        0.011        1.235        1.158        0.017       10.616
    80     35.000        0.025      -462.688      -166.819        0.011        1.353        1.268        0.013       10.616
    81     36.000        0.068       558.107      -613.723        0.014        0.598        0.561        0.017       10.238
    82     36.000        0.055      -526.477      -612.999        0.014        0.735        0.689        0.012       10.238
    83     36.000        0.044      -610.424      -493.950        0.014        0.936        0.878        0.016       10.238
    84     36.000        0.032      -243.360      -443.417        0.014        1.284        1.204        0.017       10.238
    85     37.000        0.043       -23.192      -536.012        0.010        0.702        0.658        0.015        9.861
    86     37.000        0.039       331.711       -32.792        0.010        0.776        0.727        0.014        9.861
    87     37.000        0.035       -73.547       527.908        0.010        0.864        0.810        0.014        9.861
    88     37.000        0.023      -403.720      -436.863        0.010        1.309        1.227        0.013        9.861
    89     38.000        0.032       528.665      -612.532        0.012        1.160        1.087        0.014        9.483
    90     39.000        0.036      -614.156       307.063        0.011        0.919        0.862        0.011        9.106
    91     39.000        0.035       612.976      -443.131        0.011        0.930        0.872        0.017        9.106
    92     39.000        0.030      -353.201       226.714        0.011        1.096        1.027        0.013        9.106
    93     40.000        0.065       612.190      -520.505        0.012        0.557        0.522        0.016        8.728
    94     40.000        0.023      -606.980      -389.970        0.012        1.741        1.633        0.014        8.728
    95     40.000        0.022      -611.434      -381.482        0.012        1.687        1.582        0.011        8.728
    96     42.000        0.040       551.664      -596.459        0.012        0.868        0.814        0.015        7.973
    97     42.000        0.037       555.422       314.627        0.012        0.957        0.898        0.013        7.973
    98     42.000        0.030       187.865      -611.839        0.012        1.168        1.095        0.012        7.973
    99     42.000        0.024       537.782       207.542        0.012        1.482        1.389        0.017        7.973
   100     43.000        0.030       612.569      -304.623        0.011        1.132        1.061        0.015        7.595
   101     44.000        0.033       -47.789      -118.296        0.010        0.948        0.889        0.012        7.217
   102     44.000        0.029       196.668        33.298        0.010        1.057        0.991        0.012        7.217
   103     44.000        0.026      -579.903      -100.191        0.010        1.206        1.130        0.016        7.217
   104     45.000        0.035      -337.914      -613.909        0.011        0.962        0.902        0.014        6.840
   105     45.000        0.033      -306.888      -528.358        0.011        0.998        0.936        0.013        6.840
   106     45.000        0.027      -215.957      -405.723        0.011        1.211        1.136        0.015        6.840
   107     45.000        0.024      -608.057      -445.064        0.011        1.367        1.281        0.015        6.840
   108     46.000        0.068       448.748      -614.148        0.014        0.625        0.586        0.016        6.462
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    3
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   109     46.000        0.050      -468.836      -613.532        0.014        0.853        0.800        0.013        6.462
   110     46.000        0.039       450.593      -602.731        0.014        1.081        1.013        0.015        6.462
   111     46.000        0.037      -127.915      -609.495        0.014        1.146        1.075        0.018        6.462
   112     47.000        0.078       611.074      -537.831        0.011        0.419        0.392        0.013        6.084
   113     47.000        0.040       593.351      -611.198        0.011        0.817        0.766        0.015        6.084
   114     47.000        0.026       143.447      -170.240        0.011        1.245        1.168        0.014        6.084
   115     48.000        0.062      -586.335      -613.127        0.011        0.533        0.500        0.011        5.707
   116     48.000        0.045       611.329       244.763        0.011        0.744        0.697        0.014        5.707
   117     48.000        0.039      -595.102       232.317        0.011        0.840        0.787        0.012        5.707
   118     48.000        0.037       249.853      -414.332        0.011        0.887        0.832        0.015        5.707
   119     48.000        0.034       529.696       -50.542        0.011        0.974        0.913        0.015        5.707
   120     48.000        0.032      -610.142      -600.658        0.011        1.031        0.967        0.014        5.707
   121     48.000        0.019       111.170       -52.446        0.011        1.730        1.622        0.013        5.707
   122     49.000        0.061       605.888      -609.593        0.011        0.514        0.482        0.018        5.329
   123     49.000        0.032       157.619       -29.377        0.011        0.976        0.915        0.011        5.329
   124     49.000        0.027      -365.313      -328.282        0.011        1.149        1.077        0.012        5.329
   125     50.000        0.060      -327.909      -610.840        0.011        0.572        0.536        0.014        4.951
   126     50.000        0.035       556.979      -607.964        0.011        0.986        0.924        0.014        4.951
   127     51.000        0.040       336.999      -611.526        0.012        0.871        0.817        0.015        4.574
   128     52.000        0.042      -146.738       605.339        0.010        0.714        0.670        0.012        4.196
   129     52.000        0.039      -245.779        97.459        0.010        0.769        0.721        0.013        4.196
   130     52.000        0.032        10.178       -27.671        0.010        0.928        0.870        0.014        4.196
   131     53.000        0.068       611.255        95.666        0.011        0.485        0.455        0.011        3.818
   132     53.000        0.037      -447.112      -331.911        0.011        0.879        0.824        0.014        3.818
   133     53.000        0.036      -346.542        18.441        0.011        0.918        0.861        0.016        3.818
   134     54.000        0.052      -608.265      -613.141        0.010        0.596        0.559        0.011        3.441
   135     54.000        0.031      -260.121      -411.085        0.010        1.013        0.950        0.013        3.441
   136     55.000        0.063       -54.859      -610.098        0.012        0.559        0.525        0.013        3.063
   137     55.000        0.050       -61.435      -601.875        0.012        0.702        0.658        0.015        3.063
   138     57.000        0.037      -349.224      -612.683        0.012        0.955        0.895        0.015        2.308
   139     58.000        0.043       -31.424       -35.554        0.011        0.738        0.692        0.011        1.930
   140     58.000        0.032      -421.027       531.868        0.011        1.009        0.946        0.013        1.930
   141     58.000        0.030      -596.901      -596.530        0.011        1.083        1.016        0.016        1.930
   142     58.000        0.029      -517.932      -267.688        0.011        1.122        1.052        0.015        1.930
   143     58.000        0.023       259.710      -609.157        0.011        1.419        1.331        0.015        1.930
   144     59.000        0.045      -613.537      -488.687        0.012        0.761        0.714        0.015        1.552
   145     60.000        0.067       106.109      -606.710        0.013        0.596        0.559        0.019        1.175
   146     60.000        0.063       162.348      -614.048        0.013        0.632        0.593        0.013        1.175
   147     60.000        0.055       156.731      -605.749        0.013        0.718        0.674        0.019        1.175
   148     60.000        0.051      -130.046      -610.005        0.013        0.772        0.724        0.013        1.175
   149     60.000        0.051      -324.374      -609.357        0.013        0.782        0.733        0.022        1.175
   150     60.000        0.047       345.431      -606.843        0.013        0.843        0.791        0.017        1.175
   151     60.000        0.043      -137.345      -605.948        0.013        0.924        0.867        0.017        1.175
   152     60.000        0.042       113.821      -613.149        0.013        0.941        0.883        0.012        1.175
   153     60.000        0.042       351.916      -611.858        0.013        0.949        0.890        0.009        1.175
   154     61.000        0.045      -426.574      -604.837        0.011        0.737        0.691        0.018        0.797
   155     61.000        0.029       544.463       613.646        0.011        1.172        1.099        0.014        0.797
   156     61.000        0.025        61.746      -425.326        0.011        1.348        1.264        0.012        0.797
   157     61.000        0.021      -228.733        26.822        0.011        1.621        1.520        0.013        0.797
   158     63.000        0.055       574.881      -609.709        0.011        0.597        0.559        0.016        0.042
   159     64.000        0.041       356.833      -596.885        0.011        0.815        0.764        0.014       -0.336
   160     64.000        0.031       566.330         4.025        0.011        1.073        1.006        0.012       -0.336
   161     64.000        0.028        -7.093      -300.391        0.011        1.197        1.122        0.013       -0.336
   162     64.000        0.023      -523.474       -43.113        0.011        1.472        1.380        0.017       -0.336
   163     65.000        0.023       415.751      -539.192        0.011        1.400        1.313        0.016       -0.714
       magilla    MFPRT(31DEC13)     745               02-FEB-2015   19:40:39               Page    4
 Row #      Plane     Peak int      X-offset      Y-offset     Err peak    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas      Jy/beam          mas          mas           Jy         km/s
 
   164     66.000        0.031       609.419      -564.187        0.011        1.051        0.986        0.018       -1.091
   165     66.000        0.031      -528.026      -175.109        0.011        1.070        1.003        0.013       -1.091
   166     66.000        0.026       411.664      -156.792        0.011        1.242        1.165        0.014       -1.091
   167     67.000        0.034      -142.833       414.879        0.011        0.986        0.925        0.014       -1.469
   168     67.000        0.033      -313.172       -81.210        0.011        1.003        0.940        0.014       -1.469
   169     67.000        0.029      -561.998      -571.265        0.011        1.139        1.068        0.012       -1.469
   170     67.000        0.026      -587.589      -566.105        0.011        1.300        1.219        0.013       -1.469
   171     68.000        0.062      -613.646         1.990        0.010        0.504        0.473        0.012       -1.846
   172     68.000        0.057      -500.619       148.340        0.010        0.551        0.516        0.011       -1.846
   173     68.000        0.026       -83.325       552.037        0.010        1.196        1.122        0.011       -1.846
   174     68.000        0.026      -605.470      -436.217        0.010        1.221        1.145        0.013       -1.846
   175     69.000        0.029      -522.220       -40.349        0.011        1.179        1.106        0.014       -2.224
   176     71.000        0.045      -611.495       111.806        0.011        0.701        0.658        0.014       -2.979
   177     71.000        0.035      -493.421      -376.194        0.011        0.893        0.837        0.013       -2.979
   178     71.000        0.034      -610.344       551.223        0.011        0.928        0.870        0.011       -2.979
   179     71.000        0.025      -339.431       324.235        0.011        1.245        1.168        0.015       -2.979
   180     72.000        0.055       534.932       213.710        0.011        0.575        0.539        0.016       -3.357
   181     72.000        0.055      -613.749      -395.585        0.011        0.576        0.540        0.010       -3.357
   182     72.000        0.028       580.578        26.182        0.011        1.150        1.078        0.014       -3.357
   183     73.000        0.042       274.862      -613.484        0.010        0.737        0.691        0.013       -3.735
   184     73.000        0.026       353.425      -445.504        0.010        1.164        1.091        0.012       -3.735
   185     75.000        0.033       612.612       -79.116        0.011        1.004        0.941        0.013       -4.490
   186     75.000        0.031       439.578      -581.044        0.011        1.066        1.000        0.013       -4.490
   187     76.000        0.036      -466.813      -389.461        0.011        0.925        0.868        0.011       -4.868
   188     76.000        0.033      -375.037      -608.252        0.011        1.019        0.955        0.014       -4.868
   189     76.000        0.031       588.407      -337.303        0.011        1.087        1.020        0.014       -4.868
   190     76.000        0.026      -301.168       -61.921        0.011        1.287        1.207        0.014       -4.868
   191     77.000        0.027       601.021      -169.659        0.013        1.425        1.336        0.015       -5.245
   192     77.000        0.026      -165.559      -584.294        0.013        1.477        1.384        0.017       -5.245
   193     78.000        0.054       267.511      -610.927        0.015        0.845        0.792        0.019       -5.623
   194     79.000        0.033      -329.058      -604.078        0.010        0.944        0.885        0.014       -6.001
   195     79.000        0.031      -596.790        -5.475        0.010        1.011        0.948        0.015       -6.001
   196     79.000        0.031       550.988      -404.284        0.010        1.020        0.956        0.014       -6.001
   197     79.000        0.029        28.041      -320.472        0.010        1.062        0.996        0.012       -6.001
   198     79.000        0.025      -127.150       470.723        0.010        1.251        1.173        0.011       -6.001
   199     80.000        0.035      -608.547       390.563        0.011        0.912        0.855        0.014       -6.378
