       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    1
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
*****   MF file version = 1    V255R LINE2 .ICL001. 1   *****
 
   295   1420.000       42.818       118.230      -180.327         4.068        0.251        0.231        2.048     -559.707
   296   1420.000       40.182       125.618      -189.862         4.068        0.256        0.268        1.291     -559.707
   297   1420.000       27.443        27.305      -190.049         4.068        0.366        0.326        1.743     -559.707
   298   1420.000       26.996        41.070      -203.623         4.068        0.386        0.314        2.278     -559.707
   299   1420.000       12.197      -602.018      -571.100         3.699        2.423        2.200        4.159     -559.707
   300   1420.000        9.540      -155.412      -548.308         3.671        4.914        3.387        4.029     -559.707
   301   1420.000        8.868      -475.852      -557.309         3.743        2.757        2.185        3.446     -559.707
   302   1421.000       63.220        72.732      -190.369         3.535        0.200        0.160        2.719     -560.118
   303   1421.000       39.621        24.437      -189.430         3.574        0.258        0.228        1.158     -560.118
   304   1421.000       33.816       115.114      -179.546         3.574        0.303        0.266        2.517     -560.118
   305   1421.000       23.255        67.288      -178.767         3.574        0.425        0.314        1.746     -560.118
   306   1421.000       13.483      -602.674      -572.287         3.280        1.532        1.437        4.396     -560.118
   307   1421.000       10.017      -460.541      -526.360         3.297        2.157        1.721        2.978     -560.118
   308   1421.000        9.453      -353.494      -539.651         3.291        2.345        1.845        3.122     -560.118
   309   1421.000        8.345        96.551      -517.624         3.323        2.437        1.805        2.794     -560.118
   310   1422.000       76.440        69.640      -189.442         2.829        0.132        0.111        2.257     -560.529
   311   1422.000       26.821       112.288      -178.830         2.873        0.288        0.258        1.294     -560.529
   312   1422.000       24.039        22.419      -189.337         2.873        0.335        0.296        0.913     -560.529
   313   1422.000       13.532       120.323      -187.936         2.873        0.524        0.492        1.049     -560.529
   314   1422.000       12.630        97.851      -293.375         2.742        0.884        0.779        2.026     -560.529
   315   1422.000       10.799      -463.076        84.287         2.647        1.327        1.456        2.741     -560.529
   316   1422.000       10.550       136.478      -282.278         2.724        1.097        1.018        2.018     -560.529
   317   1422.000       10.337      -606.034      -570.990         2.634        1.637        1.558        2.655     -560.529
   318   1422.000        9.814       183.219      -281.097         2.701        1.085        1.229        2.033     -560.529
   319   1423.000       77.124        67.330      -188.869         2.308        0.099        0.090        1.399     -560.940
   320   1423.000       16.496        19.817      -189.351         2.340        0.410        0.365        0.837     -560.940
   321   1423.000       13.132       110.572      -179.550         2.340        0.442        0.386        0.875     -560.940
   322   1423.000       11.793      -611.268      -569.354         2.153        1.086        0.979        1.883     -560.940
   323   1423.000        9.647        96.141      -294.395         2.236        0.907        0.865        1.387     -560.940
   324   1423.000        9.289       131.047      -280.396         2.231        0.951        0.904        1.434     -560.940
   325   1424.000       32.488        64.760      -188.191         1.964        0.177        0.172        0.597     -561.351
   326   1424.000       16.450       114.403      -188.919         1.964        0.322        0.318        0.625     -561.351
   327   1424.000       13.224       106.741      -179.424         1.964        0.404        0.370        0.474     -561.351
   328   1424.000       11.928        16.192      -189.344         1.964        0.503        0.433        0.616     -561.351
       magilla    MFPRT(31DEC13)     745               12-AUG-2015   13:10:39               Page    7
 Row #      Plane     Peak int      X-offset      Y-offset    Err peak i    Err X-off    Err Y-off    Resid rms     Velocity
           pixels      Jy/beam           mas           mas       Jy/beam          mas          mas           Jy         km/s
 
   329   1424.000       11.315        57.647      -179.026         1.964        0.471        0.386        0.674     -561.351
   330   1424.000       10.620      -613.033      -570.767         1.800        1.120        0.962        1.787     -561.351
   331   1424.000       10.294       130.258      -282.088         1.854        0.765        0.741        1.713     -561.351
   332   1425.000       23.640       104.406      -179.372         1.857        0.206        0.200        0.729     -561.762
   333   1425.000       17.419        14.565      -189.638         1.857        0.315        0.266        0.799     -561.762
   334   1425.000       15.530       112.314      -188.502         1.857        0.301        0.281        0.591     -561.762
   335   1425.000       13.777        56.505      -178.697         1.857        0.381        0.291        0.864     -561.762
   336   1425.000       11.196        60.703      -189.635         1.843        0.752        0.440        0.979     -561.762
   337   1426.000       31.673        58.896      -188.836         1.640        0.192        0.162        1.217     -562.173
   338   1426.000       17.645        56.976      -179.052         1.671        0.256        0.216        1.135     -562.173
   339   1426.000       17.430        13.779      -189.657         1.671        0.278        0.250        0.681     -562.173
   340   1426.000       15.729       103.385      -178.882         1.671        0.278        0.264        0.870     -562.173
   341   1427.000       41.390        57.930      -188.394         1.266        0.096        0.090        0.946     -562.584
   342   1427.000       12.879       103.620      -179.449         1.272        0.281        0.260        0.741     -562.584
   343   1427.000       12.430        56.588      -178.903         1.272        0.290        0.241        0.851     -562.584
   344   1428.000       33.735        57.162      -188.167         0.809        0.073        0.070        1.573     -562.995
   345   1429.000       22.631        56.381      -187.916         0.436        0.058        0.055        0.745     -563.406
   346   1430.000       10.281        55.300      -187.495         0.189        0.057        0.053        0.560     -563.817
