Header information
 
Source: G305.200+0.0
RA:   13 11 16.89        DEC: -62 45 54.99   (J2000)
OBS. DATE: 20150327          Time of record:   0/ 17 23 31.0
No. channels:   281           First channel plotted  1100
Bw (kHz):     10.067
Rest freq. (MHz) :    6668.5195      Av. weight :       0.0056
 
DATA follow with format: (1X,I5,2X,I3,2X,A5,2X,F12.4,3(2X,G15.6))
 
Channel  IF  Polar     Frequency     Velocity         Real(Jy)         Imag(Jy)
  1202    1  I           6681.0910     -523.537          1.07453          0.00000
  1203    1  I           6681.1011     -523.990          1.07880          0.00000
  1204    1  I           6681.1112     -524.442          1.08353          0.00000
  1205    1  I           6681.1212     -524.895          1.08781          0.00000
  1206    1  I           6681.1313     -525.347          1.09371          0.00000
  1207    1  I           6681.1414     -525.800          1.10126          0.00000
  1208    1  I           6681.1514     -526.252          1.10723          0.00000
  1209    1  I           6681.1615     -526.705          1.11371          0.00000
  1210    1  I           6681.1716     -527.157          1.11765          0.00000
  1211    1  I           6681.1816     -527.610          1.11392          0.00000
  1212    1  I           6681.1917     -528.062          1.10398          0.00000
  1213    1  I           6681.2018     -528.515          1.08991          0.00000
  1214    1  I           6681.2118     -528.968          1.07496          0.00000
  1215    1  I           6681.2219     -529.420          1.06618          0.00000
  1216    1  I           6681.2320     -529.873          1.06313          0.00000
  1217    1  I           6681.2420     -530.325          1.06287          0.00000
  1218    1  I           6681.2521     -530.778          1.06205          0.00000
  1219    1  I           6681.2622     -531.230          1.06177          0.00000
  1220    1  I           6681.2722     -531.683          1.06107          0.00000
  1221    1  I           6681.2823     -532.135          1.06128          0.00000
  1222    1  I           6681.2924     -532.588          1.06114          0.00000
  1223    1  I           6681.3024     -533.040          1.06108          0.00000
  1224    1  I           6681.3125     -533.493          1.06117          0.00000
  1225    1  I           6681.3226     -533.945          1.06081          0.00000
  1226    1  I           6681.3327     -534.398          1.06103          0.00000
  1227    1  I           6681.3427     -534.851          1.06092          0.00000
  1228    1  I           6681.3528     -535.303          1.06002          0.00000
  1229    1  I           6681.3629     -535.756          1.06084          0.00000
  1230    1  I           6681.3729     -536.208          1.06054          0.00000
  1231    1  I           6681.3830     -536.661          1.06065          0.00000
  1232    1  I           6681.3931     -537.113          1.06014          0.00000
  1233    1  I           6681.4031     -537.566          1.05988          0.00000
  1234    1  I           6681.4132     -538.018          1.06070          0.00000
  1235    1  I           6681.4233     -538.471          1.06046          0.00000
  1236    1  I           6681.4333     -538.923          1.05993          0.00000
  1237    1  I           6681.4434     -539.376          1.05992          0.00000
  1238    1  I           6681.4535     -539.828          1.06003          0.00000
  1239    1  I           6681.4635     -540.281          1.05951          0.00000
  1240    1  I           6681.4736     -540.733          1.05931          0.00000
  1241    1  I           6681.4837     -541.186          1.05906          0.00000
  1242    1  I           6681.4937     -541.639          1.05981          0.00000
  1243    1  I           6681.5038     -542.091          1.05962          0.00000
  1244    1  I           6681.5139     -542.544          1.05931          0.00000
  1245    1  I           6681.5239     -542.996          1.05951          0.00000
  1246    1  I           6681.5340     -543.449          1.05929          0.00000
  1247    1  I           6681.5441     -543.901          1.05941          0.00000
  1248    1  I           6681.5541     -544.354          1.05974          0.00000
  1249    1  I           6681.5642     -544.806          1.05961          0.00000
  1250    1  I           6681.5743     -545.259          1.05973          0.00000
  1251    1  I           6681.5843     -545.711          1.05923          0.00000
  1252    1  I           6681.5944     -546.164          1.05936          0.00000
  1253    1  I           6681.6045     -546.616          1.05899          0.00000
  1254    1  I           6681.6145     -547.069          1.05871          0.00000
  1255    1  I           6681.6246     -547.521          1.05816          0.00000
  1256    1  I           6681.6347     -547.974          1.05857          0.00000
  1257    1  I           6681.6447     -548.427          1.05769          0.00000
  1258    1  I           6681.6548     -548.879          1.05811          0.00000
  1259    1  I           6681.6649     -549.332          1.05837          0.00000
  1260    1  I           6681.6749     -549.784          1.05778          0.00000
  1261    1  I           6681.6850     -550.237          1.05792          0.00000
  1262    1  I           6681.6951     -550.689          1.05792          0.00000
  1263    1  I           6681.7051     -551.142          1.05735          0.00000
  1264    1  I           6681.7152     -551.594          1.05769          0.00000
  1265    1  I           6681.7253     -552.047          1.05794          0.00000
  1266    1  I           6681.7353     -552.499          1.05711          0.00000
  1267    1  I           6681.7454     -552.952          1.05690          0.00000
  1268    1  I           6681.7555     -553.404          1.05709          0.00000
  1269    1  I           6681.7656     -553.857          1.05631          0.00000
  1270    1  I           6681.7756     -554.310          1.05702          0.00000
  1271    1  I           6681.7857     -554.762          1.05698          0.00000
  1272    1  I           6681.7958     -555.215          1.05685          0.00000
  1273    1  I           6681.8058     -555.667          1.05704          0.00000
  1274    1  I           6681.8159     -556.120          1.05715          0.00000
  1275    1  I           6681.8260     -556.572          1.05707          0.00000
